term,εἰς_ναῦς_αὐτός_ἀθηναῖοι_πόλις_οὗτος_ὡς,αὐτός_εἰς_ὡς_τις_γίγνομαι_βούλομαι_σφεῖς,αὐτός_εἰς_ἄλλος_πολύς_ἔχω_οὗτος_ὅς,αὐτός_εἰς_πολύς_γίγνομαι_οὗτος_οὐδείς_τις,εἰς_αὐτός_πρός_τεῖχος_τις_πολύς_πόλις,εἰς_ναῦς_αὐτός_πλέω_οὗτος_ἄλλος_ὡς,εἰς_αὐτός_τις_ὅς_πρός_ἔχω_οὗτος,αὐτός_εἰς_σύμμαχος_οὗτος_σπονδή_ποιέω_σφεῖς,εἰς_αὐτός_οὗτος_γίγνομαι_θέρος_τελευτάω_σύμμαχος,αὐτός_εἰς_ὁπλίτης_ἀθηναίων_ἄλλος_ἱππεύς_σύμμαχος,εἰς_αὐτός_οὗτος_πολύς_ἄλλος_γίγνομαι_πόλις,αὐτός_εἰς_ὡς_ἄλλος_λέγω_τις_δῆμος
γίγνομαι,3.43687491837422e-06,0.0149054060461556,0.00830821909776376,0.0181675530128647,0.00670222126933505,0.0025793816355881,0.0106978837610542,0.0113124011975744,0.018469019000976,0.00524391981958568,0.0138326217707002,0.00558926494433654
ἔχω,0.00687718671166682,3.38682255081927e-06,0.0142691855170015,0.00809312435508392,0.00759555299467128,0.00429733324825383,0.0116702923615915,0.00813547432788935,0.00923670766985255,0.0148850194079527,0.011300601452211,0.00458657774263598
δ,0.00911115540861006,0.00813176094451707,0.00723329072708155,0.00610876719521801,0.00793055239167236,0.00945118808625099,0.00694716487326738,0.00622931820607835,0.012314144780227,0.0117411825856591,0.00798949795880208,0.00917029066469567
πόλις,0.0147819990239275,0.00982517221992671,0.00899226442456153,0.00366648145999841,0.0119505451556854,0.000125165046065645,0.00819740450252965,0.00381485378511775,4.3963387291064e-06,4.19178242972477e-06,0.0138326217707002,0.00759463934773765
πρότερος,3.43687491837422e-06,0.00677703192418936,0.00615836235639934,0.00702462434592535,0.0092705499796767,0.00552444154301505,0.00333536149984303,0.0106770158236374,0.0140726802718696,0.00419597421215449,0.0124692262145907,0.00845408552062384
σφεῖς,3.43687491837422e-06,0.0143973826635327,0.00908998518553264,0.00839841007198637,0.00703722066633613,0.00343835744192096,0.00187674859903704,0.0183016403108814,4.3963387291064e-06,4.19178242972477e-06,3.89541587459877e-06,0.00931353169351004
ἀθηναίων,0.00670534296574811,0.00525296177632069,0.00381306409309271,0.00259798145083984,0.00625555540666693,0.00834679062096588,1.38915514362475e-06,0.00737301187916495,0.0112150600979504,0.021382282174026,0.00370454049674343,0.00788112140536638
ποιέω,0.00722087420350424,0.00813176094451707,0.00342218104920827,0.00259798145083984,0.00446889195599448,0.0073651039851569,0.00486343215783025,0.0185557944604562,4.3963387291064e-06,4.19178242972477e-06,0.00487316525912306,0.00730815729010892
ὅστις,3.43687491837422e-06,0.0140587004084508,0.00742873224902377,0.00778783863818147,2.23332931334057e-06,0.0030702249534926,0.00854469328843584,0.00927916800097595,4.3963387291064e-06,4.19178242972477e-06,0.00214637414690392,0.0111756650680968
σύμμαχος,0.0018937180800242,3.38682255081927e-06,0.0100671927952437,0.00183476715858372,0.0010072315203166,0.00294751412401647,0.00208512187058075,0.0230034920780152,0.0156113988270568,0.0161425541368701,3.89541587459877e-06,2.86482057628731e-06
πᾶς,0.00258109306369904,0.00525296177632069,0.0107512381220415,0.0102301243734011,0.00435722549032745,0.00356106827139709,0.00646096057299871,0.00190869766330675,0.000444030211639746,0.00901652400633798,0.00740518557761227,0.00458657774263598
ἀθηναῖοι,0.0223431238443508,0.00440625613861587,0.00264041496143939,0.00198741001703494,0.00759555299467128,0.00626070651987179,1.38915514362475e-06,0.00445023915905475,0.0103357923521291,0.00671104366998935,0.005067936052853,0.00659195214603709
πόλεμος,3.43687491837422e-06,3.38682255081927e-06,0.00879682290261931,0.00641405291212045,2.23332931334057e-06,0.00196582748820749,0.00416885458601788,0.0116936324219366,0.0114348770344057,4.19178242972477e-06,0.00662610240269251,2.86482057628731e-06
βούλομαι,3.43687491837422e-06,0.0149054060461556,0.00312901876629494,3.05285716902449e-06,0.00402222609332637,0.00515630905458669,0.00354373477138674,0.00915209092618855,4.3963387291064e-06,4.19178242972477e-06,3.89541587459877e-06,0.00917029066469567
μέγας,0.0018937180800242,3.38682255081927e-06,0.00899226442456153,0.0119091958163645,0.00714888713200316,2.45421658952246e-06,0.00687770711608614,0.00101915813979495,4.3963387291064e-06,4.19178242972477e-06,0.00545747764031288,2.86482057628731e-06
ἦδος,0.00429953052288615,0.0110105601127135,0.00625608311737045,0.00595612433676678,0.00491555781866259,0.00503359822511056,0.00250186841366818,0.00356069963554295,0.00220256570328231,0.00210008299729211,3.89541587459877e-06,0.00157851613753431
μᾶλλον,3.43687491837422e-06,0.00389823275599298,0.00742873224902377,0.00595612433676678,0.00234722910832094,2.45421658952246e-06,0.0101422217036043,0.00343362256075555,4.3963387291064e-06,4.19178242972477e-06,3.89541587459877e-06,0.00444333671382161
ἅμα,0.0018937180800242,0.00372889162845202,0.00449710941989047,0.00778783863818147,0.00647888833800099,0.00711968232620465,0.00264078392803065,0.00279823718681855,0.00528000281365679,0.00168090475431963,3.89541587459877e-06,0.00272444436804923
πλέω,0.00533059299839842,0.00576098515894358,0.00547431702960157,3.05285716902449e-06,2.23332931334057e-06,0.015464018730581,0.00354373477138674,2.541541495748e-06,0.000444030211639746,0.00398638509066825,0.00156206176571411,0.0024379623104205
ὅσος,0.00240924931778033,0.00203548035304238,0.00547431702960157,0.00488762432760821,0.00335222729932419,0.00343835744192096,0.00451614337192406,0.00330654548596815,4.3963387291064e-06,0.00251926124026459,0.00954766430864159,0.00258120333923486
δοκέω,3.43687491837422e-06,0.00711571417927129,0.0057674793125149,0.00305591002619351,2.23332931334057e-06,2.45421658952246e-06,0.00687770711608614,0.00406900793469255,0.000663847148095066,0.00105213738986092,3.89541587459877e-06,0.00759463934773765
